MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,ADCB15516BS,,,,ADCB15516BS,ADCB15516BS,1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,ADCB15516BS,,,"Timbertech, 1X6, 16' Brownstone Sq Edge, Harvest Azek Pvc Decking, Adcb15516Bs",1X6-16' BROWNSTONE SQ EDGE - HARVEST,Timbertech Adcb15516Bs 1X6-16' Brownstone Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15516BS",Timbertech Adcb15516Bs 1X6-16' Brownstone Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Brownstone Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15516BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADCB15520BS,,,,ADCB15520BS,ADCB15520BS,1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,ADCB15520BS,,,"Timbertech, 1X6, 20' Brownstone Sq Edge, Harvest Azek Pvc Decking, Adcb15520Bs",1X6-20' BROWNSTONE SQ EDGE - HARVEST,Timbertech Adcb15520Bs 1X6-20' Brownstone Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15520BS",Timbertech Adcb15520Bs 1X6-20' Brownstone Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Brownstone Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15520BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADCB15516SG,,,,ADCB15516SG,ADCB15516SG,1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,ADCB15516SG,,,"Timbertech, 1X6, 16' Slate Gray Sq Edge, Harvest Azek Pvc Decking, Adcb15516Sg",1X6-16' SLATE GRAY SQ EDGE - HARVEST,Timbertech Adcb15516Sg 1X6-16' Slate Gray Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15516SG",Timbertech Adcb15516Sg 1X6-16' Slate Gray Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Slate Gray Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15516SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADCB15520SG,,,,ADCB15520SG,ADCB15520SG,1x6-20' Slate Gray Sq Edge - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,ADCB15520SG,,,"Timbertech, 1X6, 20' Slate Gray Sq Edge, Harvest Azek Pvc Decking, Adcb15520Sg",1X6-20' SLATE GRAY SQ EDGE - HARVEST,Timbertech Adcb15520Sg 1X6-20' Slate Gray Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Slate Gray Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15520SG",Timbertech Adcb15520Sg 1X6-20' Slate Gray Sq Edge - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Slate Gray Sq Edge - Harvest Azek PVC Decking, Part Number: ADCB15520SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15512BS,,,,AGB15512BS,AGB15512BS,1x6-12' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15512BS,,,"Timbertech, 1X6, 12' Brownstone Grooved, Harvest Azek Pvc Decking, Agb15512Bs",1X6-12' BROWNSTONE GROOVED - HARVEST,Timbertech Agb15512Bs 1X6-12' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-12' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15512BS",Timbertech Agb15512Bs 1X6-12' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-12' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15512BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15516BS,,,,AGB15516BS,AGB15516BS,1x6-16' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15516BS,,,"Timbertech, 1X6, 16' Brownstone Grooved, Harvest Azek Pvc Decking, Agb15516Bs",1X6-16' BROWNSTONE GROOVED - HARVEST,Timbertech Agb15516Bs 1X6-16' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15516BS",Timbertech Agb15516Bs 1X6-16' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15516BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15520BS,,,,AGB15520BS,AGB15520BS,1x6-20' Brownstone Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15520BS,,,"Timbertech, 1X6, 20' Brownstone Grooved, Harvest Azek Pvc Decking, Agb15520Bs",1X6-20' BROWNSTONE GROOVED - HARVEST,Timbertech Agb15520Bs 1X6-20' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15520BS",Timbertech Agb15520Bs 1X6-20' Brownstone Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Brownstone Grooved - Harvest Azek PVC Decking, Part Number: AGB15520BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15512SG,,,,AGB15512SG,AGB15512SG,1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15512SG,,,"Timbertech, 1X6, 12' Slate Gray Grooved, Harvest Azek Pvc Decking, Agb15512Sg",1X6-12' SLATE GRAY GROOVED - HARVEST,Timbertech Agb15512Sg 1X6-12' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15512SG",Timbertech Agb15512Sg 1X6-12' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-12' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15512SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15516SG,,,,AGB15516SG,AGB15516SG,1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15516SG,,,"Timbertech, 1X6, 16' Slate Gray Grooved, Harvest Azek Pvc Decking, Agb15516Sg",1X6-16' SLATE GRAY GROOVED - HARVEST,Timbertech Agb15516Sg 1X6-16' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15516SG",Timbertech Agb15516Sg 1X6-16' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-16' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15516SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AGB15520SG,,,,AGB15520SG,AGB15520SG,1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking,TIMBERTECH,,,Parksite (6151),TIMBERTECH,TIMBERTECH,,AGB15520SG,,,"Timbertech, 1X6, 20' Slate Gray Grooved, Harvest Azek Pvc Decking, Agb15520Sg",1X6-20' SLATE GRAY GROOVED - HARVEST,Timbertech Agb15520Sg 1X6-20' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15520SG",Timbertech Agb15520Sg 1X6-20' Slate Gray Grooved - Harvest Azek Pvc Decking,"TIMBERTECH, 1x6-20' Slate Gray Grooved - Harvest Azek PVC Decking, Part Number: AGB15520SG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543140016,,,,543140016,543140016,1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543140016,,,"Trex, 1Nx6, 16' Biscayne Sq Edge, Trex Transcend Lineage Decking, 543140016",1NX6-16' BISCAYNE SQ EDGE - TREX,Trex 543140016 1Nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking, Part Number: 543140016",Trex 543140016 1Nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Biscayne Sq Edge - Trex Transcend Lineage Decking, Part Number: 543140016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543140020,,,,543140020,543140020,1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543140020,,,"Trex, 1Nx6, 20' Biscayne Sq Edge, Trex Transcend Lineage Decking, 543140020",1NX6-20' BISCAYNE SQ EDGE - TREX,Trex 543140020 1Nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking, Part Number: 543140020",Trex 543140020 1Nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Biscayne Sq Edge - Trex Transcend Lineage Decking, Part Number: 543140020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543142016,,,,543142016,543142016,1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543142016,,,"Trex, 1Nx6, 16' Carmel Sq Edge, Trex Transcend Lineage Decking, 543142016",1NX6-16' CARMEL SQ EDGE - TREX,Trex 543142016 1Nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking, Part Number: 543142016",Trex 543142016 1Nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Carmel Sq Edge - Trex Transcend Lineage Decking, Part Number: 543142016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543142020,,,,543142020,543142020,1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543142020,,,"Trex, 1Nx6, 20' Carmel Sq Edge, Trex Transcend Lineage Decking, 543142020",1NX6-20' CARMEL SQ EDGE - TREX,Trex 543142020 1Nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking, Part Number: 543142020",Trex 543142020 1Nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Carmel Sq Edge - Trex Transcend Lineage Decking, Part Number: 543142020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543144016,,,,543144016,543144016,1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543144016,,,"Trex, 1Nx6, 16' Island Mist Sq Edge, Trex Transcend Lineage Decking, 543144016",1NX6-16' ISLAND MIST SQ EDGE - TREX,Trex 543144016 1Nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking, Part Number: 543144016",Trex 543144016 1Nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Island Mist Sq Edge - Trex Transcend Lineage Decking, Part Number: 543144016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543144020,,,,543144020,543144020,1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543144020,,,"Trex, 1Nx6, 20' Island Mist Sq Edge, Trex Transcend Lineage Decking, 543144020",1NX6-20' ISLAND MIST SQ EDGE - TREX,Trex 543144020 1Nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking, Part Number: 543144020",Trex 543144020 1Nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-20' Island Mist Sq Edge - Trex Transcend Lineage Decking, Part Number: 543144020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,543143016,,,,543143016,543143016,1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking,TREX,,,U S Lumber (3073),TREX,TREX,,543143016,,,"Trex, 1Nx6, 16' Jasper Sq Edge, Trex Transcend Lineage Decking, 543143016",1NX6-16' JASPER SQ EDGE - TREX,Trex 543143016 1Nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking, Part Number: 543143016",Trex 543143016 1Nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking,"TREX, 1nx6-16' Jasper Sq Edge - Trex Transcend Lineage Decking, Part Number: 543143016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
